kind,id,title,requirements,work_packages,acceptance_tests,priority,implementation_status,verification_status,evidence_reference
ACCEPTANCE,AT-038,도형 편집 팝업,REQ-08;REQ-13;REQ-14;REQ-22;REQ-25,WP00;WP01;WP02;WP03;WP05;WP06;WP09;WP10;WP11,AT-038,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-038
ACCEPTANCE,AT-039,수식 객체,REQ-09;REQ-17;REQ-18,WP00;WP02;WP05;WP07;WP08;WP11,AT-039,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-039
ACCEPTANCE,AT-040,재작도,REQ-08;REQ-17;REQ-18,WP00;WP02;WP05;WP07;WP08;WP11,AT-040,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-040
ACCEPTANCE,AT-041,문제 블록 배치,REQ-15;REQ-16,WP07;WP09;WP11,AT-041,P1,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-041
ACCEPTANCE,AT-042,overflow·논술 공간,REQ-07;REQ-15,WP02;WP04;WP07;WP11,AT-042,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-042
ACCEPTANCE,AT-043,실제 미주,REQ-10;REQ-19,WP00;WP04;WP05;WP07;WP08;WP09;WP11,AT-043,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-043
ACCEPTANCE,AT-044,배포 유형·답 노출,REQ-17;REQ-19,WP02;WP07;WP08;WP09;WP11,AT-044,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-044
ACCEPTANCE,AT-045,형식별 fail-closed,REQ-11;REQ-17;REQ-18,WP00;WP02;WP04;WP07;WP08;WP11,AT-045,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-045
ACCEPTANCE,AT-046,출력 버전 정합성,REQ-14;REQ-17;REQ-18,WP00;WP02;WP06;WP07;WP08;WP11,AT-046,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-046
ACCEPTANCE,AT-047,실제 파일·역검증,REQ-17;REQ-18,WP00;WP02;WP07;WP08;WP11,AT-047,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-047
ACCEPTANCE,AT-048,추론↔출고 완주,REQ-11;REQ-17;REQ-21;REQ-27,WP00;WP02;WP04;WP07;WP08;WP10;WP11,AT-048,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-048
ACCEPTANCE,AT-049,전체 화면 반응형,REQ-22,WP09;WP11,AT-049,P1,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-049
ACCEPTANCE,AT-050,팝업·접근성,REQ-22;REQ-23,WP03;WP06;WP09;WP11,AT-050,P1,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-050
ACCEPTANCE,AT-051,설정·템플릿,REQ-16;REQ-14,WP02;WP06;WP07;WP09;WP11,AT-051,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-051
ACCEPTANCE,AT-052,injection·콘텐츠 안전,REQ-25,WP01;WP03;WP05;WP10;WP11,AT-052,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-052
ACCEPTANCE,AT-053,중앙 worker·비밀,REQ-18;REQ-21;REQ-25,WP00;WP01;WP03;WP04;WP05;WP08;WP10;WP11,AT-053,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-053
ACCEPTANCE,AT-054,보관·삭제,REQ-02;REQ-24;REQ-26,WP01;WP09;WP10;WP11,AT-054,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-054
ACCEPTANCE,AT-055,backup·복구,REQ-24;REQ-26,WP01;WP10;WP11,AT-055,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-055
ACCEPTANCE,AT-056,배포·migration,REQ-07;REQ-11;REQ-14;REQ-26;REQ-28,WP00;WP01;WP02;WP04;WP06;WP09;WP10;WP11,AT-056,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-056
ACCEPTANCE,AT-057,관측·회계,REQ-21;REQ-24;REQ-26,WP00;WP01;WP04;WP10;WP11,AT-057,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-057
ACCEPTANCE,AT-058,성능·모델 평가,REQ-10;REQ-11;REQ-21;REQ-27,WP00;WP02;WP04;WP05;WP10;WP11,AT-058,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-058
ACCEPTANCE,AT-059,CI 회귀,REQ-25;REQ-27,WP00;WP01;WP03;WP04;WP05;WP10;WP11,AT-059,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-059
ACCEPTANCE,AT-060,출시 인수,REQ-17;REQ-18;REQ-26;REQ-27;REQ-28,WP00;WP01;WP02;WP04;WP07;WP08;WP09;WP10;WP11,AT-060,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-060
